Model,RMSE,MAE,R2
GradientBoostingRegressor,194.89280706460985,,
LGBMRegressor,194.89578345785367,,
HistGradientBoostingRegressor,195.02059294170672,,
MLPRegressor,198.7512185497236,,
XGBRegressor,199.78365251566507,,
LassoLars,201.5958402658646,,
Lasso,201.59585964250357,,
ElasticNetCV,201.61910058015337,,
LassoCV,201.631315772129,,
BayesianRidge,201.63324339937103,,
RidgeCV,201.63589028955104,,
Ridge,201.63654647657503,,
TransformedTargetRegressor,201.63661428111214,,
LinearRegression,201.63661428111214,,
LassoLarsCV,201.63661428111214,,
LassoLarsIC,201.63661428111214,,
LarsCV,201.63661428111214,,
Lars,201.63661428111214,,
SGDRegressor,201.86279071917926,,
PoissonRegressor,202.43226373393998,,
ElasticNet,202.70623178938035,,
OrthogonalMatchingPursuitCV,203.28201623606552,,
HuberRegressor,203.74111196814977,,
NuSVR,204.16124815578593,,
TweedieRegressor,204.56547041802105,,
GammaRegressor,204.8956016771852,,
PassiveAggressiveRegressor,206.27241145585907,,
LinearSVR,206.80253732129788,,
SVR,207.54821814551804,,
RandomForestRegressor,209.18293470368025,,
AdaBoostRegressor,210.09861436054592,,
OrthogonalMatchingPursuit,212.9592830801231,,
KNeighborsRegressor,213.43033479920328,,
BaggingRegressor,215.14468102984296,,
ExtraTreesRegressor,221.8240023246485,,
DummyRegressor,230.9871563664309,,
QuantileRegressor,239.5144167029617,,
RANSACRegressor,254.05146039975838,,
ExtraTreeRegressor,261.9260259112503,,
DecisionTreeRegressor,263.58618822064994,,
KernelRidge,428.0392614877752,,
GaussianProcessRegressor,59560.43677738969,,
Seu modelo (PyTorch),102818.08152265826,87619.65625,-2.6444718837738037
