Model,RMSE,MAE,R2
GradientBoostingRegressor,192.54624058864098,,
LGBMRegressor,192.56459440138147,,
HistGradientBoostingRegressor,192.63805922106795,,
MLPRegressor,194.69363955006338,,
XGBRegressor,197.96468277195305,,
ElasticNetCV,198.5383405195329,,
Lasso,198.65954112815726,,
LassoLars,198.65954112815726,,
LassoCV,198.74891902221756,,
BayesianRidge,198.75050117861338,,
RidgeCV,198.75963694873775,,
Ridge,198.76183140884973,,
LinearRegression,198.7620868966212,,
TransformedTargetRegressor,198.7620868966212,,
LarsCV,198.7620967230674,,
LassoLarsCV,198.7620967230674,,
LassoLarsIC,198.7620967230674,,
Lars,198.7620967230674,,
PoissonRegressor,199.16409442491994,,
ElasticNet,199.31683124801577,,
SGDRegressor,199.4333028911319,,
OrthogonalMatchingPursuitCV,200.41017509410543,,
TweedieRegressor,201.06492104229093,,
GammaRegressor,201.2035249242313,,
HuberRegressor,201.52461268801477,,
NuSVR,202.0825569236774,,
LinearSVR,204.76360362085876,,
PassiveAggressiveRegressor,204.93266367652672,,
RandomForestRegressor,205.5841415265423,,
SVR,206.193609802397,,
AdaBoostRegressor,207.82229053731322,,
OrthogonalMatchingPursuit,208.55963438247105,,
KNeighborsRegressor,209.41560240643486,,
BaggingRegressor,211.86280595712415,,
ExtraTreesRegressor,216.23480394785278,,
RANSACRegressor,225.10881917141762,,
DummyRegressor,227.97519053616338,,
QuantileRegressor,238.48953048913305,,
ExtraTreeRegressor,262.2525435905507,,
DecisionTreeRegressor,264.2853439452653,,
KernelRidge,424.447048375884,,
GaussianProcessRegressor,73575.70094608574,,
